SortDate,Label,実測降水量,実測平均気温,実測最高気温,実測最低気温,平年降水量,平年平均気温,平年最高気温,平年最低気温
2026-01-01,1/1,0.0,6.0,12.1,0.9,9.2,7.3,12.3,2.5
2026-01-06,1/2,0.0,7.0,12.6,1.4,11.0,7.1,12.0,2.3
2026-01-11,1/3,0.0,7.5,12.9,1.6,13.4,6.9,11.7,2.3
2026-01-16,1/4,0.0,11.9,18.1,6.3,14.8,6.8,11.5,2.2
2026-01-21,1/5,0.0,4.9,9.6,0.7,15.0,6.6,11.4,1.9
2026-01-26,1/6,0.0,4.8,10.2,0.0,17.4,6.6,11.5,1.8
2026-02-01,2/1,0.0,6.5,12.9,0.5,13.4,6.8,11.7,1.9
2026-02-06,2/2,2.5,5.9,12.1,-0.2,13.1,7.2,12.2,2.2
2026-02-11,2/3,25.5,9.1,14.8,4.3,15.9,7.6,12.6,2.6
2026-02-16,2/4,3.0,8.6,13.8,3.7,19.9,8.0,12.9,3.1
2026-02-21,2/5,66.0,13.1,18.2,8.0,24.9,8.5,13.2,3.8
2026-02-26,2/6,0.0,13.9,18.5,10.0,23.6,8.9,13.6,4.3
2026-03-01,3/1,37.5,12.5,17.1,8.5,32.2,9.4,14.1,4.8
2026-03-06,3/2,6.0,10.4,15.0,6.2,32.0,9.8,14.6,5.1
2026-03-11,3/3,9.5,9.0,13.5,4.6,31.3,10.3,15.1,5.5
2026-03-16,3/4,29.0,13.1,17.9,8.6,32.9,10.9,15.7,6.2
2026-03-21,3/5,32.0,11.8,16.0,7.7,34.0,11.5,16.2,6.8
2026-03-26,3/6,126.5,15.1,19.5,11.5,41.6,12.2,17.0,7.5
2026-04-01,4/1,156.5,15.5,19.8,11.6,36.4,13.2,17.9,8.4
2026-04-06,4/2,118.5,15.9,20.0,11.2,38.2,14.0,18.7,9.3
2026-04-11,4/3,9.5,19.3,24.1,14.6,39.0,14.8,19.5,10.2
2026-04-16,4/4,1.0,17.6,22.6,13.7,38.8,15.6,20.2,11.2
2026-04-21,4/5,29.5,17.6,21.5,14.1,36.9,16.3,20.8,11.9
2026-04-26,4/6,43.5,18.1,22.7,14.4,33.7,17.0,21.6,12.5
2026-05-01,5/1,138.0,18.7,24.5,14.0,32.9,17.8,22.3,13.3
2026-05-06,5/2,0.0,19.6,23.8,15.3,35.8,18.4,22.8,14.1
2026-05-11,5/3,0.0,19.6,24.4,15.3,37.6,18.9,23.2,14.7
2026-05-16,5/4,0.0,21.1,26.0,15.9,35.7,19.4,23.6,15.3
2026-05-21,5/5,60.0,20.3,24.2,16.7,33.0,19.9,24.1,15.9
2026-05-26,5/6,2.5,23.6,28.4,19.9,35.6,20.5,24.5,16.6
2026-06-01,6/1,147.0,21.4,25.6,18.1,28.3,20.9,24.8,17.3
2026-06-06,6/2,19.0,21.3,24.8,19.1,33.5,21.5,25.3,18.1
2026-06-11,6/3,14.0,21.8,25.7,18.3,43.1,22.1,25.8,18.9
2026-06-16,6/4,74.5,23.3,27.1,20.0,53.1,22.6,26.3,19.5
2026-06-21,6/5,81.0,23.4,27.2,20.6,57.4,23.3,27.0,20.2
2026-06-26,6/6,158.0,23.0,25.9,21.0,59.8,24.1,27.9,21.1
2026-07-01,7/1,122.5,23.9,27.9,21.4,62.4,24.8,28.6,21.9
2026-07-06,7/2,15.5,24.4,28.1,21.4,58.0,25.4,29.1,22.4
2026-07-11,7/3,0.0,27.3,30.5,24.7,48.8,25.9,29.7,23.0
